1053,Vex,Turbox-Snapdragon_Mid_2022.SPF.2.0,Vex-snapdragon_mid_2022_spf.2.0-vendor-SM6115-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0,Vex-snapdragon_mid_2022_spf.2.0-vendor-SM6115-factory.xm,2025/2/25 15:46,
1054,Vex,Turbox-Snapdragon_Mid_2022.SPF.2.0,Vex-snapdragon_mid_2022_spf.2.0-qssi14-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0,Vex-snapdragon_mid_2022_spf.2.0-qssi14-factory.xml,2025/2/25 15:47,
1055,Pre_Blink2,Turbox-QCM6490.LA.3.1,mdep-base/mdep-release-2024.4.feb.xml,Turbox-QCM6490.LA.3.1,BlinkII_Console-c6490-la3.1-mdep-2024.4.feb.xml,2025/2/27 10:21,
1056,Pre_SD2401,SD2401-QCS8550.LE.1.0,qcom-base/QCS8550.LE.1.0-r00087.1.xml,SD2401-QCS8550.LE.1.0,SD2401-c8550-le1.0-r00087.1.xml,2025/3/3 9:44,
1057,Redboy,Turbox-QCM6490.LA.5.0,qcom-base/QCM6490.LA.5.0_amss_standard_oem-qssi15-r00042.1.xml,Turbox-QCM6490.LA.5.0,Common-qssi15-dev.xml,2025/3/4 10:44,
1058,Redboy,Turbox-QCM6490.LA.5.0,qcom-base/QCM6490.LA.5.0_amss_standard_oem-vendor-r00042.1.xml,Turbox-QCM6490.LA.5.0,Common-QCM6490-LA5.0-vendor-dev.xml,2025/3/4 10:48,
1059,ShaHeShang,Turbox-Snapdragon_Mid_2022.SPF.2.0,./Shaheshang-snapdragon_mid_2022_spf.2.0-qssi14-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0,Shaheshang-snapdragon_mid_2022_spf.2.0-qssi14-release.xml,2025/3/4 16:22,
1060,ShaHeShang,Turbox-Snapdragon_Mid_2022.SPF.2.0,./Shaheshang-snapdragon_mid_2022_spf.2.0-vendor-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0,Shaheshang-snapdragon_mid_2022_spf.2.0-vendor-release.xml,2025/3/4 16:24,
1061,NEXT,Turbox-QCM6490.LA.3.2,qcom-base/QCM6490.LA.3.2-vendor-r00042.1a.xml,Turbox-QCM6490.LA.3.2,Next-For-QC-c6490-la3.2-vendor-dev.xml,2025/3/5 16:48,
1062,M12_Konira,Turbox-SDX12.LE.1.0,Turbox-M12-LE1.0-M.2-dev-GEN.xml,Turbox-SDX12.LE.1.0,Turbox-M12-LE1.0-M.2-dev-RMN,2025/3/10 15:41,
1063,Redboy,Turbox-QCM6490.LA.5.0,Common-QCM6490-LA5.0-vendor-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-dev.xml,2025/3/11 13:32,
1064,Redboy,Turbox-QCM6490.LA.5.0,Common-qssi15-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-qssi15-dev.xml,2025/3/11 13:33,
1065,Lumo_PoC,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-qssi-evt.xml,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-qssi-evt2.xml,2025/3/12 9:47,
1066,Lumo_PoC,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-le-evt.xml,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-le-evt2.xml,2025/3/12 9:47,
1067,Lumo_PoC,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-vendor-evt.xml,Turbox-QCM8550.LA.1.0,Lumo-qcm8550-la1.0-vendor-evt2.xml,2025/3/12 9:48,
1068,SupsupCharger,Turbox-QCS40x_2021.SPF.1.3,turbox-c404-le1.3-dev.xml,Turbox-QCS40x_2021.SPF.1.3,SupsupCharger-c404-le1.3-dev,2025/3/13 15:01,
1069,Redboy,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-RUS-dev.xml,2025/3/14 11:12,
1070,Redboy,Turbox-QCM6490.LA.5.0,Redboy-qssi15-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-qssi15--RUS-dev.xml,2025/3/14 11:13,
1071,Redboy,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-EEA-dev.xml,2025/3/14 11:18,
1072,Redboy,Turbox-QCM6490.LA.5.0,Redboy-qssi15-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-qssi15-EEA-dev.xml,2025/3/14 11:18,
1073,Redboy,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-QCM6490-LA5.0-vendor-factory.xml,2025/3/14 11:18,
1074,Redboy,Turbox-QCM6490.LA.5.0,Redboy-qssi15-dev.xml,Turbox-QCM6490.LA.5.0,Redboy-qssi15-factory.xml,2025/3/14 11:19,
1075,CROWN,Turbox-QCM6490.LA.3.2,qcom-base/QCM6490.LA.3.2-vendor-r00042.1a.xml,Turbox-QCM6490.LA.3.2,CROWN-c6490-la3.2-vendor-dev,2025/3/14 16:32,
1076,CROWN,Turbox-QCM6490.LA.3.2,qcom-base/QCM6490.LA.3.2-qssi13-r00042.1a.xml,Turbox-QCM6490.LA.3.2,CROWN-c6490-la3.2-qssi13-dev,2025/3/14 16:31,
1077,Hyland,Turbox-Snapdragon_Mid_2022.SPF.2.0,Hyland-Pnc660-qssi14-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0,Hyland-Pnc660-qssi14-CTA.xml,2025/3/20 11:13,
1078,Hyland,Turbox-QCM6490.LA.4.0,Hyland-Pnc660-vendor-dev.xml,Turbox-QCM6490.LA.4.0,Hyland-Pnc660-vendor-CTA.xml,2025/3/20 11:12,
1079,Pre_Mirth02,Turbox-QCM6125.LA.5.0,qcom-base/QCM6125.LA.5.0-vendor-r00005.2.xml,Turbox-QCM6125.LA.5.0,Pre_Mirth02-qcm6125-la.5.0-vendor.xml,2025/3/24 14:40,
1080,Pre_Mirth02,Turbox-QCM6125.LA.5.0,qcom-base/QCM6125.LA.5.0-qssi15-r00005.2.xml,Turbox-QCM6125.LA.5.0,Pre_Mirth02-qcm6125-la.5.0-qssi.xml,2025/3/24 14:40,
1081,ATE_Phil,Turbox-Qualcomm_Linux.SPF.1.0,qcom-base/Qualcomm_Linux.SPF.1.0-r1.0_00068.0_temp.xml,Turbox-Qualcomm_Linux.SPF.1.0,ATE_Phil-c6490-le1.0-dev.xml,2025/3/26 14:40,
1082,Hyland,Turbox-QCM6490.LA.4.0,Hyland-Pnc660-vendor-dev.xml,Turbox-QCM6490.LA.4.0, Hyland-Pnc660-vendor-call.xml,2025/3/28 11:45,
1083,Hyland,Turbox-Snapdragon_Mid_2022.SPF.2.0,Hyland-Pnc660-qssi14-dev.xml,Turbox-Snapdragon_Mid_2022.SPF.2.0, Hyland-Pnc660-qssi14-call.xml,2025/3/28 11:46,
1084,Cantil,Turbox-QCM6490.LA.3.2,qcom-base/QCM6490.LA.3.2-vendor-r00050.1a.xml,Turbox-QCM6490.LA.3.2,Cantil-c6490-la3.2-vendor-dev,2025/3/31 10:16,
